UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,id,Machine failure.1,rule_tachycardia,rule_tachypnea,rule_temp,rule_wbc,clinical_flag,meets_clinical_rule
518,M15377,M,297.5,309.4,1391,58.2,34,0,0,0,0,0,0,136946.0,0.006021263,False,False,False,False,0,False
519,L47698,L,297.6,309.5,1924,20.6,37,0,0,0,0,0,0,136947.0,0.005295657,False,False,False,False,0,False
520,M15379,M,297.7,309.5,2027,19.8,39,0,0,0,0,0,0,136948.0,0.022996127,False,False,False,False,0,False
521,L47700,L,297.6,309.5,1617,36.2,42,0,0,0,0,0,0,136949.0,0.013807636,False,False,False,False,0,False
522,L47701,L,297.5,309.4,1497,35.8,44,0,0,0,0,0,0,136950.0,0.004592021,False,False,False,False,0,False
523,M15382,M,297.5,309.5,1448,43.7,46,0,0,0,0,0,0,136951.0,0.01147839,False,False,False,False,0,False
524,L47703,L,297.4,309.4,1401,45.9,49,0,0,0,0,0,0,136952.0,0.00571151,False,False,False,False,0,False
525,L47704,L,297.4,309.4,1620,35.4,51,0,0,0,0,0,0,136953.0,0.106571728,False,False,False,False,0,False
526,L47705,L,297.4,309.4,1466,45.5,53,0,0,0,0,0,0,136954.0,0.005129238,False,False,False,False,0,False
527,L47706,L,297.6,309.5,1373,50.6,55,0,0,0,0,0,0,136955.0,0.005360534,False,False,False,False,0,False
528,M15387,M,297.6,309.6,1592,35.8,57,0,0,0,0,0,0,136956.0,0.005111864,False,False,False,False,0,False
529,M15388,M,297.5,309.5,1553,42.4,60,0,0,0,0,0,0,136957.0,0.006230321,False,False,False,False,0,False
530,L47709,L,297.6,309.5,1569,36.2,63,0,0,0,0,0,0,136958.0,0.008759911,False,False,False,False,0,False
531,M15390,M,297.6,309.5,1709,32.2,65,0,0,0,0,0,0,136959.0,0.005128449,False,False,False,False,0,False
532,L47711,L,297.6,309.5,1549,34.9,68,0,0,0,0,0,0,136960.0,0.979696443,False,False,False,False,0,False
533,L47712,L,297.5,309.4,1443,45.4,70,0,0,0,0,0,0,136961.0,0.007229254,False,False,False,False,0,False
534,L47713,L,297.5,309.3,1675,29.8,72,0,0,0,0,0,0,136962.0,0.005960954,False,False,False,False,0,False
535,L47714,L,297.5,309.3,1623,33.4,74,0,0,0,0,0,0,136963.0,0.062629277,False,False,False,False,0,False
536,H29949,H,297.4,309.3,1365,52.4,76,0,0,0,0,0,0,136964.0,0.012505059,False,False,False,False,0,False
537,L47716,L,297.4,309.3,1759,24.8,81,0,0,0,0,0,0,136965.0,0.012287556,False,False,False,False,0,False
538,H29951,H,297.4,309.3,1516,43.0,83,0,0,0,0,0,0,136966.0,0.016908149,False,False,False,False,0,False
539,M15398,M,297.4,309.3,1499,36.8,88,0,0,0,0,0,0,136967.0,0.004942147,False,False,False,False,0,False
540,M15399,M,297.4,309.3,1775,25.8,91,0,0,0,0,0,0,136968.0,0.029193903,False,False,False,False,0,False
541,L47720,L,297.4,309.4,1473,45.5,94,0,0,0,0,0,0,136969.0,0.004910393,False,False,False,False,0,False
542,L47721,L,297.4,309.4,1296,52.3,96,0,0,0,0,0,0,136970.0,0.005751545,False,False,False,False,0,False
543,L47722,L,297.5,309.4,1803,24.7,98,0,0,0,0,0,0,136971.0,0.005978283,False,False,False,False,0,False
544,H29957,H,297.5,309.3,1563,36.1,100,0,0,0,0,0,0,136972.0,0.007104538,False,False,False,False,0,False
545,M15404,M,297.5,309.4,1831,26.6,105,0,0,0,0,0,0,136973.0,0.025799379,False,False,False,False,0,False
546,L47725,L,297.6,309.4,1958,22.1,108,0,0,0,0,0,0,136974.0,0.006621549,False,False,False,False,0,False
547,L47726,L,297.5,309.4,1809,24.3,110,0,0,0,0,0,0,136975.0,0.01654045,False,False,False,False,0,False
548,M15407,M,297.5,309.4,1482,39.3,112,0,0,0,0,0,0,136976.0,0.004491403,False,False,False,False,0,False
549,L47728,L,297.4,309.3,1332,53.2,115,0,0,0,0,0,0,136977.0,0.020216593,False,False,False,False,0,False
550,L47729,L,297.4,309.2,1437,40.4,117,0,0,0,0,0,0,136978.0,0.004646792,False,False,False,False,0,False
551,L47730,L,297.4,309.2,1698,29.4,119,0,0,0,0,0,0,136979.0,0.005073944,False,False,False,False,0,False
552,L47731,L,297.4,309.2,1274,54.3,121,0,0,0,0,0,0,136980.0,0.018220808,False,False,False,False,0,False
553,M15412,M,297.4,309.3,1622,35.0,123,0,0,0,0,0,0,136981.0,0.005605161,False,False,False,False,0,False
554,M15413,M,297.4,309.3,1564,36.0,126,0,0,0,0,0,0,136982.0,0.004384782,False,False,False,False,0,False
555,H29968,H,297.5,309.4,1368,45.3,129,0,0,0,0,0,0,136983.0,0.033710263,False,False,False,False,0,False
556,M15415,M,297.4,309.4,1539,42.2,134,0,0,0,0,0,0,136984.0,0.004585529,False,False,False,False,0,False
557,L47736,L,297.5,309.4,1357,50.1,137,0,0,0,0,0,0,136985.0,0.021045239,False,False,False,False,0,False
558,M15417,M,297.5,309.4,1433,48.3,139,0,0,0,0,0,0,136986.0,0.004708593,False,False,False,False,0,False
559,L47738,L,297.5,309.4,1650,34.6,142,0,0,0,0,0,0,136987.0,0.006938708,False,False,False,False,0,False
560,L47739,L,297.5,309.4,1503,40.6,144,0,0,0,0,0,0,136988.0,0.033478507,False,False,False,False,0,False
561,L47740,L,297.5,309.4,1318,58.2,146,0,0,0,0,0,0,136989.0,0.03896566,False,False,False,False,0,False
562,M15421,M,297.5,309.4,1678,34.4,148,0,0,0,0,0,0,136990.0,0.006087849,False,False,False,False,0,False
563,L47742,L,297.6,309.5,1574,30.9,151,0,0,0,0,0,0,136991.0,0.004441376,False,False,False,False,0,False
564,L47743,L,297.7,309.6,1529,35.2,153,0,0,0,0,0,0,136992.0,0.005204215,False,False,False,False,0,False
565,H29978,H,297.6,309.6,1669,32.1,155,0,0,0,0,0,0,136993.0,0.005336019,False,False,False,False,0,False
566,H29979,H,297.7,309.7,1570,35.8,160,0,0,0,0,0,0,136994.0,0.005119562,False,False,False,False,0,False
567,M15426,M,297.6,309.7,1541,33.7,165,0,0,0,0,0,0,136995.0,0.072224237,False,False,False,False,0,False
568,M15427,M,297.7,309.7,1680,30.2,168,0,0,0,0,0,0,136996.0,0.030869905,False,False,False,False,0,False
569,L47748,L,297.8,309.7,1935,22.1,171,0,0,0,0,0,0,136997.0,0.008850726,False,False,False,False,0,False
570,M15429,M,297.7,309.6,1596,35.2,173,0,0,0,0,0,0,136998.0,0.008152147,False,False,False,False,0,False
571,L47750,L,297.7,309.7,1498,41.0,176,0,0,0,0,0,0,136999.0,0.030562799,False,False,False,False,0,False
572,M15431,M,297.8,309.8,1676,29.0,178,0,0,0,0,0,0,137000.0,0.021598047,False,False,False,False,0,False
573,L47752,L,297.8,309.9,1351,49.0,181,0,0,0,0,0,0,137001.0,0.006699648,False,False,False,False,0,False
574,L47753,L,297.9,309.9,1472,45.0,183,0,0,0,0,0,0,137002.0,0.008268586,False,False,False,False,0,False
575,M15434,M,297.9,310.0,1439,41.7,185,0,0,0,0,0,0,137003.0,0.005986862,False,False,False,False,0,False
576,M15435,M,297.9,309.9,1410,55.4,188,0,0,0,0,0,0,137004.0,0.069264961,False,False,False,False,0,False
577,H29990,H,297.7,309.7,1440,51.1,191,0,0,0,0,0,0,137005.0,0.935340806,False,False,False,False,0,False
578,L47757,L,297.7,309.7,1591,37.7,196,0,0,0,0,0,0,137006.0,0.004051106,False,False,False,False,0,False
579,L47758,L,297.8,309.8,1533,36.8,198,0,0,0,0,0,0,137007.0,0.005089378,False,False,False,False,0,False
580,M15439,M,297.8,309.7,1700,31.3,200,0,0,0,0,0,0,137008.0,0.005482374,False,False,False,False,0,False
581,M15440,M,297.8,309.8,1798,25.5,203,0,0,0,0,0,0,137009.0,0.221556455,False,False,False,False,0,False
582,L47761,L,297.8,309.7,1394,42.9,206,0,0,0,0,0,0,137010.0,0.008183681,False,False,False,False,0,False
583,L47762,L,297.8,309.7,1341,49.2,208,0,0,0,0,0,0,137011.0,0.005014945,False,False,False,False,0,False
584,H29997,H,297.7,309.6,1697,32.2,210,0,0,0,0,0,0,137012.0,0.167488089,False,False,False,False,0,False
585,H29998,H,297.6,309.6,1419,48.2,215,0,0,0,0,0,0,137013.0,0.004499927,False,False,False,False,0,False
586,L47765,L,297.6,309.5,2001,20.5,220,0,0,0,0,0,0,137014.0,0.005119055,False,False,False,False,0,False
587,L47766,L,297.6,309.6,1501,49.8,222,1,0,0,0,1,0,137015.0,0.018105214,False,False,False,False,0,False
588,H30001,H,297.6,309.5,1623,33.1,224,0,0,0,0,0,0,137016.0,0.014846355,False,False,False,False,0,False
589,L47768,L,297.6,309.4,1628,33.4,229,0,0,0,0,0,0,137017.0,0.004205708,False,False,False,False,0,False
590,L47769,L,297.6,309.4,1491,40.2,231,0,0,0,0,0,0,137018.0,0.005556417,False,False,False,False,0,False
591,L47770,L,297.5,309.4,1517,36.7,233,0,0,0,0,0,0,137019.0,0.005696582,False,False,False,False,0,False
592,H30005,H,297.5,309.3,1525,41.7,235,0,0,0,0,0,0,137020.0,0.026408805,False,False,False,False,0,False
593,H30006,H,297.5,309.5,1668,27.9,240,0,0,0,0,0,0,137021.0,0.085708818,False,False,False,False,0,False
594,L47773,L,297.5,309.6,1312,50.7,0,0,0,0,0,0,0,137022.0,0.00423244,False,False,False,False,0,False
595,H30008,H,297.6,309.6,1278,50.4,2,0,0,0,0,0,0,137023.0,0.005297321,False,False,False,False,0,False
596,M15455,M,297.6,309.6,1330,53.1,7,0,0,0,0,0,0,137024.0,0.004523771,False,False,False,False,0,False
597,M15456,M,297.6,309.6,1530,37.3,10,0,0,0,0,0,0,137025.0,0.004741837,False,False,False,False,0,False
598,H30011,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0,137026.0,0.122444879,False,False,False,False,0,False
599,L47778,L,297.7,309.6,1480,47.9,18,0,0,0,0,0,0,137027.0,0.00716646,False,False,False,False,0,False
600,H30013,H,297.7,309.7,1616,31.1,20,0,0,0,0,0,0,137028.0,0.005577113,False,False,False,False,0,False
601,L47780,L,297.8,309.7,1547,37.3,25,0,0,0,0,0,0,137029.0,0.005719174,False,False,False,False,0,False
602,L47781,L,297.9,309.7,2194,16.8,27,0,0,0,0,0,0,137030.0,0.037964179,False,False,False,False,0,False
603,L47782,L,297.9,309.8,2000,21.3,29,0,0,0,0,0,0,137031.0,0.009148299,False,False,False,False,0,False
604,L47783,L,297.9,309.8,1336,71.6,31,1,0,0,1,0,0,137032.0,0.032267895,False,False,False,False,0,False
605,L47784,L,297.9,309.9,1542,33.8,33,0,0,0,0,0,0,137033.0,0.006516107,False,False,False,False,0,False
606,M15465,M,297.9,309.8,1693,29.9,35,0,0,0,0,0,0,137034.0,0.015342617,False,False,False,False,0,False
607,L47786,L,297.9,309.8,1461,50.5,38,0,0,0,0,0,0,137035.0,0.092822142,False,False,False,False,0,False
608,M15467,M,298.0,309.9,1565,33.9,40,0,0,0,0,0,0,137036.0,0.004809009,False,False,False,False,0,False
609,L47788,L,298.0,309.9,1403,47.7,43,0,0,0,0,0,0,137037.0,0.971009503,False,False,False,False,0,False
610,L47789,L,298.1,309.9,1629,32.5,45,0,0,0,0,0,0,137038.0,0.005217739,False,False,False,False,0,False
611,L47790,L,298.1,310.0,1534,33.7,47,0,0,0,0,0,0,137039.0,0.005773652,False,False,False,False,0,False
612,L47791,L,298.1,310.0,1553,40.9,49,0,0,0,0,0,0,137040.0,0.004834,False,False,False,False,0,False
613,L47792,L,298.1,309.9,1563,32.8,51,0,0,0,0,0,0,137041.0,0.011458338,False,False,False,False,0,False
614,L47793,L,298.1,309.9,1634,30.0,53,0,0,0,0,0,0,137042.0,0.006743945,False,False,False,False,0,False
615,M15474,M,298.0,309.9,1445,45.2,55,0,0,0,0,0,0,137043.0,0.007560557,False,False,False,False,0,False
616,L47795,L,298.1,309.9,1642,30.4,58,0,0,0,0,0,0,137044.0,0.004654879,False,False,False,False,0,False
617,H30030,H,298.1,309.9,1686,29.1,60,0,0,0,0,0,0,137045.0,0.005825644,False,False,False,False,0,False
618,M15477,M,298.1,310.0,1393,43.1,65,0,0,0,0,0,0,137046.0,0.004249238,False,False,False,False,0,False
619,H30032,H,298.2,310.0,1433,44.2,68,0,0,0,0,0,0,137047.0,0.00534724,False,False,False,False,0,False
620,L47799,L,298.3,310.0,1507,44.7,73,0,0,0,0,0,0,137048.0,0.015725058,False,False,False,False,0,False
621,M15480,M,298.3,310.1,1389,49.6,75,0,0,0,0,0,0,137049.0,0.010666118,False,False,False,False,0,False
622,L47801,L,298.3,310.1,1408,45.3,78,0,0,0,0,0,0,137050.0,0.005360024,False,False,False,False,0,False
623,M15482,M,298.4,310.2,1725,32.0,80,0,0,0,0,0,0,137051.0,0.00529817,False,False,False,False,0,False
624,L47803,L,298.4,310.1,1926,23.7,83,0,0,0,0,0,0,137052.0,0.010408957,False,False,False,False,0,False
625,H30038,H,298.3,310.1,1509,37.6,85,0,0,0,0,0,0,137053.0,0.004921527,False,False,False,False,0,False
626,L47805,L,298.3,310.1,1545,36.3,90,0,0,0,0,0,0,137054.0,0.003981801,False,False,False,False,0,False
627,L47806,L,298.4,310.1,1533,35.2,92,0,0,0,0,0,0,137055.0,0.005440615,False,False,False,False,0,False
628,L47807,L,298.4,310.1,1455,42.2,94,0,0,0,0,0,0,137056.0,0.008537166,False,False,False,False,0,False
629,M15488,M,298.4,310.1,1335,57.8,96,0,0,0,0,0,0,137057.0,0.004823256,False,False,False,False,0,False
630,L47809,L,298.3,310.1,1523,45.9,99,0,0,0,0,0,0,137058.0,0.00493282,False,False,False,False,0,False
631,L47810,L,298.3,310.0,1460,47.6,101,0,0,0,0,0,0,137059.0,0.010625219,False,False,False,False,0,False
632,L47811,L,298.4,310.0,1554,37.3,103,0,0,0,0,0,0,137060.0,0.005398531,False,False,False,False,0,False
633,H30046,H,298.3,310.0,1419,47.1,105,0,0,0,0,0,0,137061.0,0.004871538,False,False,False,False,0,False
634,L47813,L,298.3,310.0,1442,43.9,110,0,0,0,0,0,0,137062.0,0.007106981,False,False,False,False,0,False
635,L47814,L,298.3,309.9,1507,41.6,112,0,0,0,0,0,0,137063.0,0.008444107,False,False,False,False,0,False
636,L47815,L,298.3,310.0,1858,23.9,114,0,0,0,0,0,0,137064.0,0.00488969,False,False,False,False,0,False
637,L47816,L,298.3,309.9,1463,43.9,116,0,0,0,0,0,0,137065.0,0.056009441,False,False,False,False,0,False
638,L47817,L,298.2,309.7,1585,37.4,118,0,0,0,0,0,0,137066.0,0.047121363,False,False,False,False,0,False
639,L47818,L,298.0,309.6,1536,37.3,120,0,0,0,0,0,0,137067.0,0.005133882,False,False,False,False,0,False
640,L47819,L,298.0,309.6,1403,51.3,122,0,0,0,0,0,0,137068.0,0.004025094,False,False,False,False,0,False
641,M15500,M,297.9,309.6,1515,38.8,124,0,0,0,0,0,0,137069.0,0.078872224,False,False,False,False,0,False
642,L47821,L,297.9,309.5,1390,47.9,127,0,0,0,0,0,0,137070.0,0.009077219,False,False,False,False,0,False
643,M15502,M,297.8,309.4,1226,58.7,129,0,0,0,0,0,0,137071.0,0.047641532,False,False,False,False,0,False
644,M15503,M,297.8,309.4,1495,36.5,132,0,0,0,0,0,0,137072.0,0.003928426,False,False,False,False,0,False
645,H30058,H,297.7,309.4,1608,30.2,135,0,0,0,0,0,0,137073.0,0.004714318,False,False,False,False,0,False
646,L47825,L,297.7,309.4,1392,44.1,140,0,0,0,0,0,0,137074.0,0.008434303,False,False,False,False,0,False
647,M15506,M,297.7,309.4,1461,43.7,142,0,0,0,0,0,0,137075.0,0.007130999,False,False,False,False,0,False
648,L47827,L,297.7,309.3,1559,36.9,145,0,0,0,0,0,0,137076.0,0.007123504,False,False,False,False,0,False
649,H30062,H,297.7,309.3,1400,48.9,147,0,0,0,0,0,0,137077.0,0.004485376,False,False,False,False,0,False
650,M15509,M,297.7,309.2,1732,28.8,152,0,0,0,0,0,0,137078.0,0.004221844,False,False,False,False,0,False
651,L47830,L,297.6,309.2,1611,33.1,155,0,0,0,0,0,0,137079.0,0.005195489,False,False,False,False,0,False
652,L47831,L,297.6,309.1,1503,38.9,157,0,0,0,0,0,0,137080.0,0.005492816,False,False,False,False,0,False
653,L47832,L,297.7,309.2,1391,44.5,159,0,0,0,0,0,0,137081.0,0.005492202,False,False,False,False,0,False
654,L47833,L,297.8,309.3,2015,20.1,161,0,0,0,0,0,0,137082.0,0.005126626,False,False,False,False,0,False
655,L47834,L,297.8,309.2,1683,30.9,163,0,0,0,0,0,0,137083.0,0.010770953,False,False,False,False,0,False
656,L47835,L,297.7,309.1,1435,38.8,165,0,0,0,0,0,0,137084.0,0.004759511,False,False,False,False,0,False
657,M15516,M,297.7,309.1,1732,28.1,167,0,0,0,0,0,0,137085.0,0.01163037,False,False,False,False,0,False
658,L47837,L,297.7,309.2,1365,58.6,170,0,0,0,0,0,0,137086.0,0.01180455,False,False,False,False,0,False
659,L47838,L,297.7,309.1,1562,36.8,172,0,0,0,0,0,0,137087.0,0.00509541,False,False,False,False,0,False
660,L47839,L,297.6,309.1,1449,49.1,174,0,0,0,0,0,0,137088.0,0.045206071,False,False,False,False,0,False
661,M15520,M,297.7,309.2,1700,27.4,176,0,0,0,0,0,0,137089.0,0.005814033,False,False,False,False,0,False
662,M15521,M,297.6,309.0,1427,45.6,179,0,0,0,0,0,0,137090.0,0.004618007,False,False,False,False,0,False
663,M15522,M,297.6,308.9,1479,38.1,182,0,0,0,0,0,0,137091.0,0.006685732,False,False,False,False,0,False
664,L47843,L,297.5,308.9,1469,44.0,185,0,0,0,0,0,0,137092.0,0.059254966,False,False,False,False,0,False
665,L47844,L,297.5,308.9,1390,47.4,187,0,0,0,0,0,0,137093.0,0.013285881,False,False,False,False,0,False
666,L47845,L,297.5,308.9,1729,28.1,189,0,0,0,0,0,0,137094.0,0.013036068,False,False,False,False,0,False
667,L47846,L,297.5,309.0,1470,43.5,191,0,0,0,0,0,0,137095.0,0.004987184,False,False,False,False,0,False
668,L47847,L,297.5,308.9,1459,48.5,193,0,0,0,0,0,0,137096.0,0.00409439,False,False,False,False,0,False
669,L47848,L,297.5,308.9,1738,24.0,195,0,0,0,0,0,0,137097.0,0.033145547,False,False,False,False,0,False
670,H30083,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0,137098.0,0.010428514,False,False,False,False,0,False
671,L47850,L,297.6,309.0,1822,25.4,202,0,0,0,0,0,0,137099.0,0.00521106,False,False,False,False,0,False
672,L47851,L,297.5,308.9,1554,34.8,204,0,0,0,0,0,0,137100.0,0.004908239,False,False,False,False,0,False
673,M15532,M,297.6,308.9,1433,43.2,206,0,0,0,0,0,0,137101.0,0.005676917,False,False,False,False,0,False
674,L47853,L,297.6,308.9,1449,47.7,209,0,0,0,0,0,0,137102.0,0.005308166,False,False,False,False,0,False
675,L47854,L,297.8,309.0,1456,41.2,0,0,0,0,0,0,0,137103.0,0.065396765,False,False,False,False,0,False
676,M15535,M,297.8,309.1,1424,45.5,2,0,0,0,0,0,0,137104.0,0.006973716,False,False,False,False,0,False
677,H30090,H,297.9,309.2,1577,34.7,5,0,0,0,0,0,0,137105.0,0.010150723,False,False,False,False,0,False
678,L47857,L,297.9,309.2,1478,39.7,10,0,0,0,0,0,0,137106.0,0.125778321,False,False,False,False,0,False
679,M15538,M,297.8,309.2,1295,61.2,12,0,0,0,0,0,0,137107.0,0.004553889,False,False,False,False,0,False
680,L47859,L,297.8,309.2,1372,47.3,15,0,0,0,0,0,0,137108.0,0.005933658,False,False,False,False,0,False
681,M15540,M,297.8,309.1,1432,42.6,17,0,0,0,0,0,0,137109.0,0.00734661,False,False,False,False,0,False
682,M15541,M,297.7,309.0,1656,33.2,20,0,0,0,0,0,0,137110.0,0.067200227,False,False,False,False,0,False
683,H30096,H,297.8,309.0,1410,48.8,23,0,0,0,0,0,0,137111.0,0.175665265,False,False,False,False,0,False
684,L47863,L,297.7,309.0,1874,24.4,28,0,0,0,0,0,0,137112.0,0.89197828,False,False,False,False,0,False
685,L47864,L,297.7,309.0,1538,43.2,30,0,0,0,0,0,0,137113.0,0.037280656,False,False,False,False,0,False
686,M15545,M,297.7,309.0,1636,29.7,32,0,0,0,0,0,0,137114.0,0.005274458,False,False,False,False,0,False
687,M15546,M,297.7,309.0,1504,40.4,35,0,0,0,0,0,0,137115.0,0.010312028,False,False,False,False,0,False
688,M15547,M,297.7,309.0,1531,42.4,38,0,0,0,0,0,0,137116.0,0.019953008,False,False,False,False,0,False
689,H30102,H,297.6,309.0,1735,26.4,41,0,0,0,0,0,0,137117.0,0.003783461,False,False,False,False,0,False
690,H30103,H,297.6,309.0,1354,55.6,46,0,0,0,0,0,0,137118.0,0.004787026,False,False,False,False,0,False
691,H30104,H,297.6,309.0,1413,40.2,51,0,0,0,0,0,0,137119.0,0.028005474,False,False,False,False,0,False
692,L47871,L,297.7,309.1,1563,39.3,56,0,0,0,0,0,0,137120.0,0.086118536,False,False,False,False,0,False
693,L47872,L,297.7,309.1,1479,42.1,58,0,0,0,0,0,0,137121.0,0.010709501,False,False,False,False,0,False
694,L47873,L,297.7,309.1,1477,38.3,60,0,0,0,0,0,0,137122.0,0.012607057,False,False,False,False,0,False
695,L47874,L,297.6,309.1,1394,50.0,62,0,0,0,0,0,0,137123.0,0.006336023,False,False,False,False,0,False
696,L47875,L,297.6,309.0,1487,45.4,64,0,0,0,0,0,0,137124.0,0.107362522,False,False,False,False,0,False
697,M15556,M,297.6,309.0,1815,25.3,66,0,0,0,0,0,0,137125.0,0.005024917,False,False,False,False,0,False
698,M15557,M,297.6,308.8,1453,39.7,69,0,0,0,0,0,0,137126.0,0.003925825,False,False,False,False,0,False
699,L47878,L,297.6,308.8,1539,40.2,72,0,0,0,0,0,0,137127.0,0.00539057,False,False,False,False,0,False
700,H30113,H,297.5,308.7,1416,39.2,74,0,0,0,0,0,0,137128.0,0.00460156,False,False,False,False,0,False
701,M15560,M,297.6,308.8,1683,31.6,79,0,0,0,0,0,0,137129.0,0.004559427,False,False,False,False,0,False
702,L47881,L,297.7,308.8,1515,40.1,82,0,0,0,0,0,0,137130.0,0.006897657,False,False,False,False,0,False
703,M15562,M,297.7,308.9,1531,48.3,84,0,0,0,0,0,0,137131.0,0.006515514,False,False,False,False,0,False
704,H30117,H,297.7,308.9,1479,40.9,87,0,0,0,0,0,0,137132.0,0.004108796,False,False,False,False,0,False
705,L47884,L,297.7,308.9,1516,33.7,92,0,0,0,0,0,0,137133.0,0.004846415,False,False,False,False,0,False
706,L47885,L,297.7,309.0,1507,38.2,94,0,0,0,0,0,0,137134.0,0.04520912,False,False,False,False,0,False
707,M15566,M,297.8,309.0,1434,43.3,96,0,0,0,0,0,0,137135.0,0.009332591,False,False,False,False,0,False
708,L47887,L,297.7,308.9,1838,27.3,99,0,0,0,0,0,0,137136.0,0.003745687,False,False,False,False,0,False
709,M15568,M,297.6,308.8,1416,45.9,101,0,0,0,0,0,0,137137.0,0.004624595,False,False,False,False,0,False
710,M15569,M,297.6,308.8,1357,49.7,104,0,0,0,0,0,0,137138.0,0.005040738,False,False,False,False,0,False
711,M15570,M,297.5,308.7,1697,28.1,107,0,0,0,0,0,0,137139.0,0.004855508,False,False,False,False,0,False
712,L47891,L,297.5,308.7,1443,46.2,110,0,0,0,0,0,0,137140.0,0.025969758,False,False,False,False,0,False
713,L47892,L,297.5,308.7,1453,37.6,112,0,0,0,0,0,0,137141.0,0.010671388,False,False,False,False,0,False
714,L47893,L,297.4,308.6,1439,46.4,114,0,0,0,0,0,0,137142.0,0.02178377,False,False,False,False,0,False
715,L47894,L,297.4,308.6,1609,36.2,116,0,0,0,0,0,0,137143.0,0.004785925,False,False,False,False,0,False
716,L47895,L,297.4,308.6,1324,59.1,118,0,0,0,0,0,0,137144.0,0.004353021,False,False,False,False,0,False
717,H30130,H,297.4,308.6,1420,45.8,120,0,0,0,0,0,0,137145.0,0.004918995,False,False,False,False,0,False
718,L47897,L,297.4,308.7,1545,36.9,125,0,0,0,0,0,0,137146.0,0.010510587,False,False,False,False,0,False
719,L47898,L,297.5,308.8,1477,39.0,127,0,0,0,0,0,0,137147.0,0.00459922,False,False,False,False,0,False
720,L47899,L,297.4,308.8,1447,58.1,129,0,0,0,0,0,0,137148.0,0.007834631,False,False,False,False,0,False
721,L47900,L,297.4,308.9,1809,23.8,131,0,0,0,0,0,0,137149.0,0.004929546,False,False,False,False,0,False
722,L47901,L,297.5,308.9,1696,30.9,133,0,0,0,0,0,0,137150.0,0.013162446,False,False,False,False,0,False
723,L47902,L,297.5,308.9,1427,44.7,135,0,0,0,0,0,0,137151.0,0.006106396,False,False,False,False,0,False
724,M15583,M,297.4,308.9,1500,46.3,137,0,0,0,0,0,0,137152.0,0.006130657,False,False,False,False,0,False
725,L47904,L,297.5,308.9,1390,44.6,140,0,0,0,0,0,0,137153.0,0.034981897,False,False,False,False,0,False
726,L47905,L,297.4,308.8,1640,34.2,142,0,0,0,0,0,0,137154.0,0.005262992,False,False,False,False,0,False
727,M15586,M,297.4,308.8,1628,37.4,144,0,0,0,0,0,0,137155.0,0.005176037,False,False,False,False,0,False
728,H30141,H,297.3,308.6,1499,37.6,147,0,0,0,0,0,0,137156.0,0.006868499,False,False,False,False,0,False
729,M15588,M,297.4,308.7,1425,50.3,152,0,0,0,0,0,0,137157.0,0.082086894,False,False,False,False,0,False
730,L47909,L,297.3,308.6,1586,37.7,155,0,0,0,0,0,0,137158.0,0.032101626,False,False,False,False,0,False
731,M15590,M,297.3,308.6,1471,50.7,157,0,0,0,0,0,0,137159.0,0.059814293,False,False,False,False,0,False
732,M15591,M,297.3,308.6,1431,53.0,160,0,0,0,0,0,0,137160.0,0.005557202,False,False,False,False,0,False
733,L47912,L,297.2,308.6,1924,22.1,163,0,0,0,0,0,0,137161.0,0.007122297,False,False,False,False,0,False
734,M15593,M,297.1,308.4,1421,42.0,165,0,0,0,0,0,0,137162.0,0.004767505,False,False,False,False,0,False
735,H30148,H,297.0,308.4,1305,54.6,168,0,0,0,0,0,0,137163.0,0.004416339,False,False,False,False,0,False
736,L47915,L,296.9,308.4,1557,32.4,173,0,0,0,0,0,0,137164.0,0.007265777,False,False,False,False,0,False
737,L47916,L,296.9,308.3,1555,38.2,175,0,0,0,0,0,0,137165.0,0.004807801,False,False,False,False,0,False
738,H30151,H,296.9,308.3,1474,39.2,177,0,0,0,0,0,0,137166.0,0.00486951,False,False,False,False,0,False
739,L47918,L,296.8,308.3,1506,45.9,182,0,0,0,0,0,0,137167.0,0.026045392,False,False,False,False,0,False
740,L47919,L,296.9,308.4,1390,41.8,184,0,0,0,0,0,0,137168.0,0.003530195,False,False,False,False,0,False
741,M15600,M,296.9,308.4,1450,46.9,186,0,0,0,0,0,0,137169.0,0.02318295,False,False,False,False,0,False
742,L47921,L,296.9,308.3,1513,38.8,189,0,0,0,0,0,0,137170.0,0.005372063,False,False,False,False,0,False
743,L47922,L,296.8,308.2,1643,34.7,191,0,0,0,0,0,0,137171.0,0.005970135,False,False,False,False,0,False
744,L47923,L,296.8,308.2,1361,53.8,193,0,0,0,0,0,0,137172.0,0.04368936,False,False,False,False,0,False
745,L47924,L,296.7,308.1,1450,40.9,195,0,0,0,0,0,0,137173.0,0.008063963,False,False,False,False,0,False
746,L47925,L,296.7,308.0,1451,50.7,197,0,0,0,0,0,0,137174.0,0.006654873,False,False,False,False,0,False
747,L47926,L,296.8,308.1,1289,62.0,199,1,0,0,0,1,0,137175.0,0.008319413,False,False,False,False,0,False
748,L47927,L,296.8,308.1,1356,48.3,201,0,0,0,0,0,0,137176.0,0.005595645,False,False,False,False,0,False
